MeasPlan.Name;ET6-Teiler
Name;Frei Waldemar
Fahrzeug;ET323
Kilometerstand;2626436
Datum;22.04.2026
MeasObject.Name;MeasObject.Prop.Name.0;MeasObject.Prop.Value.0;MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification
Achse23;Achsennummer;BV11569;Raddurchmesser links;Dlk;757,74;mm;i.o
Achse23;Achsennummer;BV11569;Bremsscheibe Links Innen;BH;1,26;mm;Achtung
Achse23;Achsennummer;BV11569;Bremsscheibe Links Innen;Bst;5,05;mm;i.o
Achse23;Achsennummer;BV11569;Bremsscheibe Links Innen;WS;3,79;mm;i.o
Achse23;Achsennummer;BV11569;Bremsscheibe Links Außen;BH;1,41;mm;Achtung
Achse23;Achsennummer;BV11569;Bremsscheibe Links Außen;Bst;4,97;mm;i.o
Achse23;Achsennummer;BV11569;Bremsscheibe Links Außen;WS;3,56;mm;i.o
Achse23;Achsennummer;BV11569;Spurkranz rechts;Sh;32,97;mm;i.o
Achse23;Achsennummer;BV11569;Spurkranz rechts;Sd;30,51;mm;i.o
Achse23;Achsennummer;BV11569;Spurkranz rechts;qR;11,20;mm;i.o
Achse23;Achsennummer;BV11569;Raddurchmesser Rechts;Dlk;757,70;mm;i.o
Achse23;Achsennummer;BV11569;Bremsscheibe Rechts Innen;BH;0,85;mm;i.o
Achse23;Achsennummer;BV11569;Bremsscheibe Rechts Innen;Bst;5,04;mm;i.o
Achse23;Achsennummer;BV11569;Bremsscheibe Rechts Innen;WS;4,19;mm;i.o
Achse23;Achsennummer;BV11569;Bremsscheibe Rechts Außen;BH;1,16;mm;Achtung
Achse23;Achsennummer;BV11569;Bremsscheibe Rechts Außen;Bst;5,06;mm;i.o
Achse23;Achsennummer;BV11569;Bremsscheibe Rechts Außen;WS;3,90;mm;i.o
Achse23;Achsennummer;BV11569;Differenz Durchmesser;DDA1;0,04;mm;i.o
Achse23;Achsennummer;BV11569;AR-Radinnenabstand;AR;unmeasured;mm;UNCLASSIFIED
Achse23;Achsennummer;BV11569;SR-Spurmaß;SR;unmeasured;mm;UNCLASSIFIED
Achse22;Achsennummer;BV11536;Spurkranz links;Sh;29,52;mm;i.o
Achse22;Achsennummer;BV11536;Spurkranz links;Sd;30,90;mm;i.o
Achse22;Achsennummer;BV11536;Spurkranz links;qR;11,51;mm;i.o
Achse22;Achsennummer;BV11536;Raddurchmesser links;Dlk;903,45;mm;i.o
Achse22;Achsennummer;BV11536;Bremsscheibe Links Innen;BH;0,68;mm;i.o
Achse22;Achsennummer;BV11536;Bremsscheibe Links Innen;Bst;4,99;mm;i.o
Achse22;Achsennummer;BV11536;Bremsscheibe Links Innen;WS;4,31;mm;i.o
Achse22;Achsennummer;BV11536;Bremsscheibe Links Außen;BH;0,57;mm;i.o
Achse22;Achsennummer;BV11536;Bremsscheibe Links Außen;Bst;5,04;mm;i.o
Achse22;Achsennummer;BV11536;Bremsscheibe Links Außen;WS;4,47;mm;i.o
Achse22;Achsennummer;BV11536;Spurkranz rechts;Sh;29,84;mm;i.o
Achse22;Achsennummer;BV11536;Spurkranz rechts;Sd;31,26;mm;i.o
Achse22;Achsennummer;BV11536;Spurkranz rechts;qR;11,79;mm;i.o
Achse22;Achsennummer;BV11536;Raddurchmesser Rechts;Dlk;903,23;mm;i.o
